Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
(,34.0416567088698,33.3474437157721,32.2084307160477,31.2336840337421,30.2588550455925,29.2426747186152,28.0672898401802,26.941738503101,25.8120229842537,24.7273833961524,23.6812688953382,22.6179192578984,21.5376029864722,20.518052130849,19.5280884746771,18.5835249667056,17.696186724055,16.7205719204118,15.8186881545653,14.8608671014357,13.8352829831514,12.829560155962,11.9569816605271,11.0785289519238,10.2757007077729,9.39389389241399,8.56195410993893,8.09146734477012,7.58005211940328,7.00848871377572,6.62355918005501,6.38602317228917,6.21782761163416,6.33806344515071,6.72564458740424,7.25919666726981,7.94273539455914,8.8415477513015,9.70030632321395,10.5377557764037,11.4521216683171,12.3675959835828,13.3508745734474,14.290986992198,15.1877299499859,16.1088079014288,17.1117091878034,18.1251397023467,19.1274809814198,20.057982708221,20.9247974652242,21.8673522681214,22.7747687716473,23.6320093256791,24.5403835281071,25.3654074230458,26.2215277114751,27.1163963038011,28.0024286426564,28.9245883581103,29.8872271061134,30.8583480974737,31.9361707091752,33.0194611217106
),31.3973511613827,31.4681381997135,30.7897238426722,30.0308614993854,29.2622060122883,28.4766580425778,27.7094054295369,26.7796144126299,25.9009470548158,24.9434679660729,24.0153063566204,23.051433610626,22.074338603665,21.1077028311096,20.1569419681562,19.2506347530004,18.3408490675142,17.4604242059061,16.5944292060053,15.7285535913481,14.8751415834661,14.0823715383089,13.2857645417267,12.4796209570865,11.7942346935976,10.8957473869431,10.2645312887256,9.56108940547472,8.81026519412813,8.10958323488631,7.53244386624944,7.22091437714221,7.05108860784743,6.95975298918405,7.14353134351055,7.5261856246167,7.97265498272585,8.54834755264514,9.23520539691619,9.96534368643371,10.7907649819259,11.6326264435417,12.4864103166643,13.4304193156961,14.4172029102146,15.4617349771452,16.5829385057353,17.7221230088674,18.8729706815926,19.8347993030092,20.8453932204785,21.9003036559866,22.8902926147176,23.9226933753368,25.008882611484,26.1187864686482,27.222079273903,28.2743713031612,29.3759329395863,30.5211678820175,31.6203608120777,32.7046755370497,33.8681755225896,35.1465720695626
+,29.7605708303628,27.971386345642,25.6497554655044,23.5757162745341,21.7664357815637,19.7538610043696,18.0271279357205,16.4491226254914,14.9158922555808,13.5244815006585,12.2151708064534,10.9611287095885,9.8023590242275,8.82925064736633,8.25078825264223,7.97420313453278,8.05513594624178,8.63050134766382,9.40350002159205,10.1062125731511,11.1548532873779,12.2602856258579,13.3693719206832,14.5090000966239,15.5268998162967,16.6038150634032,17.7577151657151,21.7696503411494,23.7575438295657,31.2289113534277,48.646004307923,57.6200972945713,48.2298454117022,39.5853272102999,32.8489797814036,26.2070539655412,20.8754044613989,19.3511171741495,17.8465113884681,16.3696497703927,14.9189454973198,13.6180762061102,12.3850328230119,11.2286301826203,10.1363812733036,9.14289750078296,8.53087503514761,8.17720310050322,8.09816885868831,8.35423249749036,8.79730808109251,9.55478123815043,10.3836088501958,11.2458616335327,12.241712367006,13.3680539063371,14.537093598189,15.6821427317408,16.8708873967609,18.1323770122267,19.3937017284816,20.6863105359579,21.9842065997661,23.3196720201135
hyphen,17.4392889380902,16.4189494998809,15.3546330717369,14.5346846240382,13.944614439464,13.3497046843704,12.7716369826439,12.2153041464585,11.6695578564519,11.1288908418044,10.5920803666279,10.0665896915259,9.53945056756475,9.01101018817116,8.50696278190964,8.10644068444205,7.64949044013947,7.28691921671047,6.77627285275381,6.21311730987908,5.82830134664192,5.43712784454898,4.88430630018735,4.3354414466699,3.79169430738143,3.27247261301586,2.78501269812021,2.36427396246951,2.00621094488195,1.687682284546,1.48468200281187,1.42191442001587,1.59372973545664,1.7989972644917,2.04621999940554,2.39775505037056,2.9539303229237,3.48659615898636,3.80550446334523,4.15872060612401,4.70806897521333,5.23787487981975,5.63915793956068,5.94470280482992,6.45511749705973,6.9293952072067,7.3459149462838,7.79717023279893,8.30960877840676,8.80437321632904,9.30238863511991,9.79810891730043,10.2962814264936,10.7947177593144,11.0353582214486,11.5398254191483,11.8944693790281,12.3716144278439,12.8306848654309,13.2869413037291,13.7536582051528,14.2321424007662,14.6542171566572,15.1847639732427
zero,21.2700454823113,22.1213730807131,21.7281525618103,21.0490228204171,20.485182967893,20.1578707596159,19.7714017281023,19.5797717922734,19.4281433063581,19.3456407196385,19.4134811500283,19.6816732120315,20.0168016709521,20.4427531654298,20.9519957994069,21.4980878039061,22.0617957658839,22.7036720314436,23.3320325162587,24.0767293137769,24.8210566335874,25.489197002914,25.6544613677097,25.8126772605266,25.7799893619638,25.5569581286843,25.1131800890654,24.8321298704683,24.2919621426488,23.6733305039734,23.114626227993,22.5572354619854,21.9212378226643,21.6075443607751,21.0376496466447,20.4469072686377,20.1535775206999,20.0614754451452,20.0067942592099,20.0547364139941,20.2386659832226,20.5310705859757,20.7929402126585,21.1899601017812,21.7201223252036,22.2084610333455,22.6879091962938,23.4740107344989,23.7773440217625,23.8791861178502,23.6469315308731,23.7152248821784,23.4584277667145,23.4726427933937,23.6537040543525,23.7519235487565,23.9653015142576,24.1597695994226,24.0980443495411,23.8355148354757,23.0798127968034,22.4991468891426,22.436025233722,23.0937526330278
one,22.4343555925279,23.0206622905794,17.5426010420123,17.2263150358329,17.0021029044677,16.849653452511,16.8335620266802,16.8883692838543,17.0301458929684,17.2821499203413,17.5963011351886,17.9657900869355,18.428931040637,18.7689902797217,19.1732351127379,19.5909670637565,20.2652357223167,21.1937286856797,21.723605159999,21.4613966850185,20.3997167991714,19.3030671842183,18.2540600856824,17.5826785958797,16.8874256469276,15.9725324288894,14.9131920898526,13.8631328769261,12.8061872532604,11.7289389349131,10.6427653587563,9.5824240928636,8.53153122844937,7.53767949048559,6.65645683347845,5.9843569249079,5.5786438699712,5.43646538420218,5.56125414591385,5.99691029727118,6.59675469656508,7.31169130704314,8.11821187721622,8.96375123648884,9.86331289827089,10.8037103826014,11.77977658204,12.8097336883748,13.8120320418416,14.8320778183014,15.8696157006625,16.8818748592821,17.928561479836,19.0128066526195,20.1912302984742,21.2369916551108,22.2758814352741,23.2963916756714,24.3593155685269,25.4134665934361,26.4887715677878,27.6712623798599,29.0365686178394,30.6612706625011
two,31.9107319245379,33.2178729467834,33.9909768049852,34.591213718028,34.9971575769813,35.2319664657508,35.2828477210145,35.2866796919838,35.182759397167,34.7986580678748,33.8647771929014,32.7889929593499,31.3396802616767,29.7040866363166,27.9074086006073,26.0965958487821,24.2907306030894,22.6642848488248,21.0393538705579,19.4476055727862,18.0669236867157,16.6813808266914,15.5351113817576,14.346806847302,13.1654904101832,12.3966505624831,11.8199300405922,11.7194325715271,12.0563630619499,12.7633856268533,13.6397893172596,14.8494166068849,16.2142488557029,17.7198843738386,19.5319293295858,21.2729159855393,23.1966007480668,24.9720294511832,26.5909411120838,27.9159073172191,28.3980819343948,27.1101639068854,25.5361809265574,24.7389043849568,24.5131940326451,24.3080199105326,23.6448145488193,22.8794692464066,22.3872546680748,22.1019450465625,21.9752109814809,22.1091322111816,22.4362846720674,23.0110689973444,23.6890646921797,24.5974949482237,25.6313462813783,26.7443353219444,27.9903194321283,29.2607635620083,30.7116441739757,32.1425284090109,33.820248594014,36.2912695765153
three,28.2440769445738,29.0187052099445,29.5857605675384,30.0803128567273,30.8568659460454,31.2503867892948,31.3996789358884,31.3863325643902,31.2197101667896,30.5471996935386,29.6642979249159,28.2500693772804,26.8313581530984,25.3820921100416,23.3045340218341,21.2802634854954,19.322381297865,17.578019692467,16.4076195565095,15.5229928185672,15.2678100713717,15.2695022324395,15.6461007779224,16.0412534197939,16.4214841387392,16.5829765443296,17.0583830453638,16.140722792737,14.4378087211002,15.4622691249805,17.4431265209273,18.8285116114169,19.7401505327944,20.4248316871262,20.9605179955741,21.5481643875165,22.3857096363607,23.1795960663861,23.8934269360576,24.2626029777566,24.5594739862862,24.6181854823966,24.499161050169,23.848573113299,23.1494455986731,22.1610882513402,21.4500441300337,21.0102230342914,20.374415367744,20.1309243412404,20.0906390796924,20.333913036128,20.9058295874239,21.6560799151824,22.5280915177105,23.5908169287061,24.7328503768899,25.9393388528545,27.1435211731661,28.6467995041906,30.2474222337873,31.7162906866628,33.0909174159851,33.4763452332989
four,40.5492375167734,38.4099782736943,35.9050724741695,33.4882299723636,31.2345956310439,28.6305626479831,26.2524467892179,23.8978065168867,21.7778911852806,19.6719394995323,17.7902023382108,16.4122440305596,15.6521129465229,15.3817391758821,15.605879278075,16.2231567009202,17.2914645351452,18.496817074297,19.8687337765671,20.8567747249572,21.7824131311839,21.7833750154213,20.6088122387486,19.7268550079105,18.9274871764423,18.199852364524,17.0162650990445,15.6278168475028,14.3656208781835,13.128626660166,12.3718772324741,12.2685278091151,12.5659881660019,13.3765643659188,14.549307180864,15.9547525939387,17.4506358745509,19.0338731750391,20.8147280867316,22.6291758592844,24.3117113282925,26.8937525656314,28.4864753694938,31.4368149919869,34.1135925400681,34.0509545394764,25.2953921989388,22.4704385401635,19.289477033936,18.2077071179667,15.251944836617,12.3634579413354,11.9238568007706,12.8409188613603,13.8724019566018,15.701177958278,17.6487352004831,19.673283435261,21.5508607865318,23.4406378736724,25.3730694238947,27.3034090229391,29.4145137508573,31.4654878523719
five,29.2546858412279,29.7079738971605,29.1229386138312,28.3537663839244,27.6577129361259,26.8674057134421,26.1750834754828,25.286972277718,24.5573795439746,23.8765075249697,23.3041699753143,22.3984974516358,22.024277808085,21.9803869411584,21.5323924517028,21.2998589283639,22.1273829013844,22.5792421295824,21.8961114148471,21.1954879738336,20.3872219820086,19.7969952418427,19.2388968353801,18.8064087804543,15.8315467290092,16.0286593283285,16.9713179130367,17.8727574469765,18.0235315729573,18.417053887324,18.3684558256312,18.0275096809569,17.9339613520089,17.8107050491356,17.0693690546437,16.7367812717388,16.4337563409966,16.1679680374098,16.1825851950265,16.0685054169598,16.0813617705393,16.2263130826235,16.6606344836475,17.2145911718648,17.8360105970043,18.2217190909101,18.3974407200098,18.2608245058116,17.7834100833598,17.4515348417822,17.3215304228141,17.5118478071808,17.8604960005686,18.4782922206628,19.0030495892134,19.6834321701769,20.4977463741162,21.3949893784072,22.4684616684941,23.6097637915751,24.8440212706168,26.323490748771,27.711052646018,28.7480692028772
six,40.8707238530849,39.7309620933271,38.0281544912258,36.1733110392489,34.1717823117407,32.192249302519,30.3654868529668,28.5725719345543,26.9388967543441,25.6378887834499,24.0910742361994,22.9873211227166,22.0974209578236,20.9828425423351,20.2717060014557,19.4479524724963,18.9040867873143,18.2517099239867,17.7596524582798,17.5296400572509,17.3744681961421,17.5988778957562,18.0369720566904,18.5699613311117,19.1867459701472,19.9577465051009,20.8249447692165,21.5866988152461,22.2905987490175,23.1456185529167,24.0297976703682,24.3094263992366,24.7586483522595,24.9306252812419,25.3090420244042,25.7309528902186,26.0944427114931,26.4969840441246,26.5192854703678,26.2873556791753,26.0180435218022,25.303675192033,24.7749692579181,24.1880909681934,23.4177894614159,22.6454356923718,21.30916539896,19.9673815458881,18.2831109141098,16.7972954956046,15.7138696055478,14.7275220034473,13.8574380937853,13.4705597787678,13.3630332478431,13.7975012108659,14.7288838092645,16.0368693741657,17.6175262903052,19.5327098914223,21.5787029406643,23.6644590112947,25.8959017988845,28.4031518166158
seven,22.029140089014,21.7950559669173,20.982829454259,20.286093529875,19.8075277122519,19.4483975404558,19.246416144981,19.142196670665,19.1196512791357,19.2647007385264,19.5530108957816,19.7787768496829,19.9408991395061,20.0258947539075,19.9464789165442,19.7441067575053,19.4520049959939,18.8667812061911,18.7465758100219,18.7399097436483,18.2222512744066,17.5125111800031,16.9079216765259,16.4053401340959,15.8146421591573,15.2557787433378,14.7417442251643,14.4015110395427,14.3620574389253,14.584294532726,15.147350540785,15.8459113921731,16.9690880106605,18.1173844820045,19.2197291981473,20.3798826324939,21.5479514600185,22.8964054448216,24.3264831150948,26.5220079138077,28.1928603573692,30.3070220426623,34.2254580736797,41.7577843188304,59.4789524169043,47.4098099907549,39.1914252520571,31.2585863009864,23.0374795116152,20.5188695926508,16.6729951360985,15.5349139438444,15.4198358056734,15.5164908790769,15.7796086173758,16.2116270080554,16.8044186171795,17.7231612768896,18.4903287970691,19.6549977505769,20.9285649374674,22.118550847691,23.8731249644902,26.0799610502443
eight,28.4071596094568,30.805111056452,33.0483231730062,35.7926068998342,39.0368656520347,42.3643698286578,45.416595595094,47.9253622434965,49.5562356725522,49.8627550110878,48.3949780937809,46.2799242710204,43.3916613023135,39.9604982878469,36.2778696033823,32.5785342774184,28.4549430423966,25.3593798976666,23.8612623723522,23.9671406545422,25.5068220726101,28.2503357463863,31.7332508483112,35.5830966741396,38.5925546295885,41.448270381858,43.5819546025499,43.4364127212121,43.645328693569,43.4176562406359,42.4818297439465,41.485534905146,40.3771932205418,39.5650638693773,39.0041960310634,38.8983063805507,39.7975386344065,41.1274519793128,42.4782426702224,43.6356514047625,43.3238668872945,42.7010829061044,41.8780987601108,41.0821206240263,39.1426144571379,36.7221516691356,33.906451686442,30.5290140147263,26.5859741154479,22.2019053653236,19.2382189276598,17.9699896958384,18.5190760848325,20.2773342371502,23.1224689800954,26.2748140566286,28.9054365628933,31.1488214937361,32.3976648185669,33.3308572948946,33.0468129401329,32.0004062167881,30.3957596299827,28.8691926582309
nine,21.82100804851,21.6218360415799,21.9666852539426,22.877616886262,23.7056443542287,24.2958394175311,24.4601268602996,24.3213470777113,23.7712250306759,22.6818132872703,21.8704897286318,21.1837600195096,20.6697610531283,20.7932986119697,20.9464094997927,21.3941347446341,21.9640840596512,22.5179912713515,23.0140523326561,23.6300172732839,24.3851633546252,24.8205099004239,25.1239987088823,25.1158236271361,24.7600026078131,24.1300541089835,23.5242375392814,22.5648238031146,21.6894563949589,20.9998878174035,20.6049712410874,20.4044353710666,20.2486896520759,19.842596858302,19.907957433808,20.4404892570053,22.3523884386064,24.5286408367997,24.4000739243318,20.5318607566466,18.3388619971897,18.030174012552,17.5700196204457,17.0785027500901,16.6178069455712,16.2083410420371,15.9957243771855,15.9706334064782,16.1899881867675,16.5571004139221,17.1095952323812,17.8349275159914,18.7837846516277,19.9762401792756,21.2993779224182,22.782214446936,24.3867411715228,26.1536509310691,28.0937334538685,30.2137512289149,32.4442115610905,34.8083923373728,37.1946083019061,39.5816785049424
/,31.4952369472837,31.4997953128619,31.1590332295486,30.6469456375319,29.4648139942236,28.4541315824264,27.3668020077769,26.3456500040696,25.2924935751693,24.2195702035532,23.1526625039878,22.147381560654,21.0589307734947,20.0089728123907,18.9658812963525,17.9084019330229,16.8417793464437,15.7708485656391,14.725903785076,13.6723461604295,12.5929617484794,11.5097036280752,10.4394051042867,9.37500832383796,8.3376785595902,7.29571882405953,6.22555699497517,5.19946988974463,4.23199782521627,3.25948650666402,2.38169137729652,1.78510071844383,1.79172733042918,2.30578810768602,3.23410291319784,4.27913056528077,5.20237705435451,6.20935464670119,7.33231982844545,8.17505974632643,9.19543955871637,10.383871018143,11.3574066608393,12.3004767784385,13.375709156979,14.4314257887177,15.4750603814403,16.5186292235039,17.5709556932622,18.6463659254885,19.7326148380282,20.8099142499158,21.8781850491714,22.9802125291955,24.0535174427281,25.1321978870853,26.2562033901941,27.3474209425044,28.4212299688516,29.5568950448759,30.6651863139052,31.7363009606983,32.9270408791832,34.1605860226308
x,49.7659159253023,44.3827274454472,40.8202575870479,37.575788270474,34.6930611047476,31.8488547269239,29.0243700135257,26.2998641385715,23.5948448029109,20.9215740628492,18.3703460842533,15.8814216319896,13.5422189958046,11.4707162379789,9.93902712743674,9.26282047600045,9.74579313311499,11.140076741712,13.183754384154,15.5893665840699,18.2107473800698,20.9327870853315,23.6664032704623,26.4177588866102,29.1888066556829,32.0094997853057,35.7151381109687,38.7131035548652,42.987813581975,48.0391966516175,53.4053861407565,64.6817592644445,75.069348836251,81.097455084333,89.6584653267696,49.80996679835,40.9987204815228,35.1072798372015,32.026320049614,28.9427191043332,24.7414806058501,21.7878898961114,18.9564040969593,16.2437069787131,13.707778408816,11.428553429809,9.52166885030936,8.34364230462572,8.52183105899845,10.0650684754755,12.2648774472083,14.9951233903682,17.8537082317825,20.7855900418972,23.7585940510364,26.7557504918526,29.8354973505673,32.9046276280157,35.9972394139643,38.9989919749243,42.2125820321488,45.3802160427504,48.7125172941915,53.0880918528578
^,18.1091745775031,17.2183520578103,16.1275800702693,15.3935256189388,14.7309858769317,14.1195900756699,13.520721232206,12.9176607947548,12.2886078779946,11.7476392835313,11.2311036110861,10.7762714402063,10.3466817261696,9.96664271366703,9.5903132691145,9.27668565333931,8.85531702672368,8.62672178481191,8.50174125477285,8.16558933828959,8.17304475991585,7.92287008828448,7.95612977256118,7.97525879182036,7.9764159881413,8.13876798564631,8.36161929876656,8.62793462643234,9.01401618543504,9.3393277049932,9.25694546002475,9.38368419186321,9.07764146994525,8.91159376487014,8.92482788090666,8.70489953759594,8.45640622044522,8.34265731321868,8.05986207012224,7.79779333511692,7.62266794684964,7.55442834809839,7.52838898096467,7.6865736833131,7.94224783000611,8.15523754437348,8.38475371878971,8.67079170061799,8.99531065444098,9.34728886990784,9.71948642892506,10.1443355510934,10.8570451599554,11.3935906252262,11.9882989923158,12.6987499613749,13.5293764485945,14.1047303203236,14.6886048924639,15.372627934495,16.1037014089793,16.8205257933518,17.4868996739175,18.0303143562559
